station_number,median
1,-36.124
2,-35.525
3,-38.843
4,-38.047
5,-34.683499999999995
6,-34.215
7,-44.054
8,-41.116
9,-36.9775
10,-37.4
11,-30.648
12,-30.0955
13,-35.739999999999995
14,-50.35
15,-38.084500000000006
16,-33.867000000000004
17,-44.423
18,-29.441
19,-34.381
20,-41.3
21,-47.611000000000004
22,-15.587
23,-15.153
24,1.597
25,-21.1485
26,-41.525999999999996
27,-32.6755
28,-25.3875
29,-34.693
30,-31.7125
31,-20.739
32,-41.592
33,-25.07
34,-28.683
35,-23.8425
36,-35.88549999999999
37,-31.4335
38,-14.563
39,-37.0775
40,-37.044
41,-43.719
42,-18.456
43,-43.147000000000006
44,-16.006
45,-35.41
46,-26.164
47,-54.492
48,-29.1605
49,-25.429
50,-51.9155
51,-44.745
52,-19.0805
53,-63.845
54,-28.696
55,-40.426
56,-44.758
57,-46.6645
58,-29.1725
59,-45.549
60,-31.279
61,-28.447499999999998
62,-36.3905
