station_number,std
1,17.163963198486556
2,21.90192827386119
3,21.55717761177436
4,20.20280974010476
5,17.58728725681204
6,16.47878822665426
7,15.123526332887215
8,20.34041876719433
9,17.077165653757447
10,21.282652066106962
11,20.02797329965502
12,21.133383182817134
13,17.81473395786246
14,17.92597461865102
15,18.84490670577083
16,19.58220527670446
17,19.40451658574393
18,23.025286111143114
19,20.166620914835708
20,19.578734825891477
21,22.738011722258808
22,15.145706732412403
23,29.432758708622604
24,19.39010451235372
25,19.572358587390205
26,21.612798351368642
27,19.179439032657687
28,20.426890688389225
29,15.078683872895196
30,17.773389286807348
31,23.072039977758667
32,16.464292017295165
33,19.363996770662055
34,21.731674860349138
35,17.34045075154238
36,7.216609568673274
37,29.69399077535161
38,12.595721866305771
39,13.240737435629699
40,14.667462545505595
41,29.900879229488027
42,18.215400916919247
43,23.30071887875279
44,15.47213223003183
45,11.033690053649321
46,16.084478585237832
47,18.099339609104923
48,10.04602559473148
49,20.245291411420418
50,18.77932688445817
51,19.5343947335052
52,16.90375670165623
53,14.136577108102703
54,5.307271835258989
55,16.49468748480639
56,18.635360402560863
57,33.08057654425025
58,6.2034477913495785
59,19.887882585124462
60,16.13098271184989
61,18.62597498514336
62,15.989205298623773
